loan_amount,interest_rate,tenure_years,monthly_income,existing_emi,credit_score,burden_score
1903973.5882944444,8.736408184666985,22,210592.2294944928,29035.34350035208,716,26.066352713591627
4756035.816729085,8.329120962314033,2,210902.65289833603,23440.690990694096,768,77.629627628945
3673370.0119664553,6.761539125028601,4,112464.56809403379,2281.9361058970976,354,100.0
3013359.496775331,11.07266670101488,13,267929.4710910743,17173.018845939812,415,38.43544172678134
822292.2701900607,9.76624160508629,13,94511.39253597854,3069.0972733432186,896,17.29470832738464
822172.8756642031,13.657009923240036,23,130819.73895269023,5904.188718433018,578,28.494371246621494
337513.88023258734,5.321095804820582,27,224785.1747992837,4641.17838806955,753,9.889338872882572
4337571.92158593,11.438679275551262,22,228199.07298139605,7904.7768559277365,441,45.83694055477223
3025519.3081288836,12.629488785115612,25,261126.41355745145,40646.026667827966,348,48.572189646893364
3554959.260090425,12.59486569188307,27,28136.53173366948,31378.619831863496,668,78.8594592358859
151893.2467642221,13.860739670955251,23,71452.43071952436,25339.045504325917,669,40.69876330624433
4851053.768201872,12.29033742829494,17,199360.09578761706,36612.8756372534,600,62.71799986595681
4170591.0719620874,14.278100616476962,6,114695.93538619304,48061.18880187377,651,82.48952822303947
1101078.597857467,8.326565998208915,11,32197.267860643085,20883.757263930063,494,90.84947457924545
950033.587675148,10.032094167515432,19,184210.66869387278,18370.59712926578,604,31.361042278690455
957852.3237744974,5.1407966328289065,16,130060.49557014725,48888.678200231996,549,51.09754081580651
1555999.1026497118,5.069575873032912,8,121946.56039232477,38566.51826800685,557,56.552793093828875
2647544.3365795775,7.401266204515199,29,94021.99971203123,38855.56131740084,749,61.99449575999195
2188127.842278473,6.008071971390852,1,21679.41007274954,29997.114751099398,358,100.0
1491584.2439803074,7.602113679357537,10,71060.80475177552,25350.42144806446,520,74.77603579747199
3078671.8288757782,6.770432945283974,2,152785.88338920943,27529.585512421738,871,72.51867640219966
740494.6102276071,5.285200248386483,19,97206.20686458591,32604.252534585572,833,38.11225747149003
1496116.01024933,14.093041464060494,14,264828.83019376744,18841.967525594617,661,28.308806882095215
1863491.124303774,5.082231313888915,3,60039.90540378259,39114.73822878976,352,94.50608924176133
2307546.421874328,12.360821443370854,23,265095.2803701364,45461.04717964794,860,26.24123140039833
3936621.008895417,6.521478869195166,29,133351.22637879802,28564.184308285363,828,40.29867338716163
1038385.2216838807,14.122296219996,24,97235.28765923996,19073.781146214656,797,32.911230659442815
